2	2246523
4	841761
6	347063
8	148061
10	65719
12	30463
14	15444
16	8121
18	4445
20	2535
22	1463
24	940
26	551
28	381
30	257
32	146
34	112
36	80
38	61
40	43
42	35
44	26
46	18
48	11
50	17
52	10
54	12
56	6
58	8
60	4
62	7
64	2
68	2
70	2
72	2
74	4
76	3
78	1
84	1
86	2
92	2
118	1
132	1
482	1
1	3198611
3	1301486
5	523276
7	224421
9	97647
11	44919
13	21702
15	11047
17	5875
19	3287
21	1776
23	1077
25	670
27	445
29	297
31	192
33	156
35	120
37	79
39	69
41	29
43	30
45	22
47	20
49	15
51	15
53	9
55	4
57	6
59	8
61	3
63	5
65	2
67	1
69	1
73	1
77	1
79	1
87	2
89	1
91	1
95	1
109	1
125	1
